ID	positive	negative	획득 명성치	직업명	엔딩 텍스트																					
1011	근력+마력	건강	5	마검사	"싱클레어 n세는 마법과 검술 모두를 완벽히 익혔다. 결투에서만큼은 누구도 그를 쓰러뜨릴 수 없었다. 하지만 수많은 결투의 후유증은 남았고, 싱클레어 n세는 향년 38세의 나이에 검을 내려놓게 되었다."																					
1012	근력+마력	지식	5	마검사	"싱클레어 n세는 마법과 검술 모두를 완벽히 익혔다. 결투에서만큼은 누구도 그를 쓰러뜨릴 수 없었다. 명성을 바탕으로 무기 사업을 시작했지만, 정작 계산과 운영은 그와 맞지 않았다."																					
1013	근력+마력	매력	5	마검사	싱클레어 n세는 마법과 검술 모두를 완벽히 익혔다. 결투에서만큼은 누구도 그를 쓰러뜨릴 수 없었다. 하지만 검을 내려놓은 그 곁에는 아무도 남아 있지 않았다.																					
1014	근력+마력	?	6	마검사	싱클레어 n세는 마법과 검술 모두를 완벽히 익혔다. 결투에서만큼은 누구도 그를 쓰러뜨릴 수 없었다. 사람들은 그를 '완성된 전사'로 불렀다.																					
1021	근력+건강	마력	5	성기사	"싱클레어 n세는 방패로 아군을 지키며, 검으로 신념을 실현한 전사였다. 단신의 몸으로 도시를 지켰다는 이야기는 지금도 전설처럼 전해진다. 신의 가호는 깃들었지만, 마력은 끝내 깨어나지 않았다."																					
1022	근력+건강	지식	5	성기사	"싱클레어 n세는 방패로 아군을 지키며, 검으로 신념을 실현한 전사였다. 단신의 몸으로 도시를 지켰다는 이야기는 지금도 전설처럼 전해진다. 언제나 싱클레어 n세는 이익보다는 신념을 따랐고, 그래서 그는 늘 손해를 감수해야 했다."																					
1023	근력+건강	매력	5	성기사	"싱클레어 n세는 방패로 아군을 지키며, 검으로 신념을 실현한 전사였다. 단신의 몸으로 도시를 지켰다는 이야기는 지금도 전설처럼 전해진다. 싱클레어 n세의 방패는 모두를 지켜냈지만, 정작 마지막까지 곁에 남은 이는 없었다."																					
1024	근력+건강	?	6	성기사	"싱클레어 n세는 방패로 아군을 지키며, 검으로 신념을 실현한 전사였다. 단신의 몸으로 도시를 지켰다는 이야기는 지금도 전설처럼 전해진다. 그렇게 싱클레어 n세는 '정의의 상징'이 되었다."																					
1031	근력+지식	마력	5	전술가	"한 발짝 먼저 움직이고, 한 수 먼저 읽었다. 그것이 싱클레어 n세가 전장을 지배한 방식이었다. 하지만 마법 전략을 짤 줄은 알았지만, 그에게 마력은 끝내 깨어나지 않았다."																					
1032	근력+지식	건강	5	전술가	"한 발짝 먼저 움직이고, 한 수 먼저 읽었다. 그것이 싱클레어 n세가 전장을 지배한 방식이었다. 하지만, 싱클레어 n세는 병약한 몸을 버티지 못하고 48세의 나이에 생을 마감했다."																					
1033	근력+지식	매력	5	전술가	"한 발짝 먼저 움직이고, 한 수 먼저 읽었다. 그것이 싱클레어 n세가 전장을 지배한 방식이었다. 하지만 사람의 마음은 읽지 못했고, 싱클레어 n세의 곁에 머무는 이는 드물었다."																					
1034	근력+지식	?	6	전술가	"한 발짝 먼저 움직이고, 한 수 먼저 읽었다. 그것이 싱클레어 n세가 전장을 지배한 방식이었다. 싱클레어 n세의 전술서는 지금도 '장교들의 필독서'로 남아 있다."																					
